q non-Coulombic_BLPS full_BLPS
   1.7760000000   11.7404741828    7.7564318800
   1.7790000000   11.7027139170    7.7320971896
   1.7820000000   11.6649978943    7.7077389933
   1.7850000000   11.6273264512    7.6833580828
   1.7880000000   11.5896999238    7.6589552456
   1.7910000000   11.5521186478    7.6345312648
   1.7940000000   11.5145829580    7.6100869189
   1.7970000000   11.4770931882    7.5856229816
   1.8000000000   11.4396496706    7.5611402217
   1.8030000000   11.4022527361    7.5366394028
   1.8060000000   11.3649027138    7.5121212832
   1.8090000000   11.3275999309    7.4875866155
   1.8120000000   11.2903447120    7.4630361466
   1.8150000000   11.2531373795    7.4384706174
   1.8180000000   11.2159782532    7.4138907629
   1.8210000000   11.1788676498    7.3892973115
   1.8240000000   11.1418058830    7.3646909851
   1.8270000000   11.1047932631    7.3400724993
   1.8300000000   11.0678300969    7.3154425624
   1.8330000000   11.0309166877    7.2908018760
   1.8360000000   10.9940533345    7.2661511345
   1.8390000000   10.9572403327    7.2414910250
   1.8420000000   10.9204779730    7.2168222270
   1.8450000000   10.8837665419    7.1921454127
   1.8480000000   10.8471063311    7.1674612561
   1.8510000000   10.8104975975    7.1427703934
